category,algorithm_name,file_path,symbol,purpose,inputs,outputs,algorithm_type,thresholds,complexity,active_status,test_coverage,known_risks,recommended_action
C,Nearby-text lookup,backend/services/engineering/geometry_extractor.py,_nearby_text,Attach nearest text line to a geometry object for classification hints,geometry center + document lines,nearby_text string,deterministic,radius=48.0pt grid or linear fallback,O(n) worst case O(1) avg with grid,active,untested directly,independent of graph's own nearest-label search - can disagree,reconcile with graph_builder nearest_label
C,Geometry k-NN attachment,backend/services/engineering/geometry_extractor.py,_attach_nearest_objects,Attach 5 nearest geometry objects to each object,geometry objects,nearest_objects field,deterministic,cell=180.0 k=5,O(n*k),active,untested,"output never consumed anywhere downstream (dead computation)",remove or wire into a real consumer
C,Dense-page drawing cap,backend/services/engineering/geometry_extractor.py,extract_geometry (inline),Bound processing cost on dense CAD pages,raw drawings,truncated drawings list,deterministic,threshold 250 keep top-250 by bbox area,O(n log n) sort,active,untested at scale,BUG: axis-aligned lines have bbox area=0 and are dropped first - opposite of stated intent,fix sort key; add dense-page regression test
C,Small-shape to SYMBOL reclassification,backend/services/engineering/geometry_extractor.py,extract_geometry (inline),Treat small rect/circle as a symbol not structural shape,geometry object,possibly-overwritten kind,deterministic,area<400 pt^2,O(1),active,untested,size threshold is raw-coordinate not scale-aware,make scale-aware once drawing scale is known
C,Points-from-items helper,backend/services/engineering/geometry_extractor.py,_points_from_items,Extract point list from drawing items,items,points list,deterministic,none,O(items),DEAD - never called; duplicated inline elsewhere,none,dead code,remove or replace inline duplicate with this function
C,Geometry document adapter,backend/services/engineering/geometry_adapters.py,PdfGeometryAdapter.extract,Wrap geometry_extractor output into GeometryDocument contract,PDF path + document structure,GeometryDocument,deterministic,none,O(n),active,capability contract tested only,per-object layer/cross_section fields always None despite schema implying population,either populate or remove misleading fields
C,Duplicate prediction merge,backend/services/multimodal/duplicate_detector.py,merge_duplicate_predictions,Merge same-page same-label near-duplicate predictions,prediction list,deduplicated list,deterministic heuristic,distance_threshold=18.0pt,O(n^2) nested scan,active,indirect via pipeline tests,quadratic - fine at current scale but a risk on large docs,bucket by page+label before distance check
D,Text-neighbor spatial grid,backend/services/pdf_parser.py,_attach_neighbors,Nearest-neighbor index for text objects,text objects,neighbor lists,deterministic,cell=max(1.0 max_distance) default 120.0 k=5,O(n),active,none direct,4th independently-tuned grid radius in the codebase,consolidate
D,Nearest label/geometry (graph),backend/services/engineering/graph_builder.py,build_graph (nearest_label/nearest_geometry loops),Greedy 1-NN association between text and geometry nodes,graph nodes,nearest_* edges,deterministic,cell/cutoff=160.0,O(n) via grid,active,shallow (node_count>0 only),greedy not bipartite; leaders not resolved through; many-to-one fan-in unconstrained,see 04_graph_audit.md
D,Pairwise geometric relation detection,backend/services/engineering/graph_builder.py,build_graph (pairwise loop),Detect parallel/perpendicular/intersects/contains/touches/connected/supports,geometry node pairs,relation edges,deterministic,angle tol 8deg; pads 1.0/2.5/3.0; window page_geom[:60] x 12,O(60*12) per page but spatially incomplete,active,untested (edge content never asserted),list-order window not spatial - silently misses proximate pairs on dense pages,replace with real spatial index
D,Reference-edge detection,backend/services/engineering/graph_builder.py,build_graph (reference loop),Link text nodes sharing drawing_references,text nodes,reference edges,deterministic,none (unbounded),O(n^2) true quadratic,active,untested,unbounded O(n^2) - only mitigated by requiring non-empty drawing_references,add windowing or index
E,Base graph construction,backend/services/engineering/graph_builder.py,build_graph,Build node/edge JSON structure from document+geometry,document_structure + geometry,graph dict,deterministic,see D rows,O(n) to O(n^2) mixed,active,shallow smoke test only,non-deterministic node/edge IDs (uuid4); see 04_graph_audit.md,seed/derive stable IDs from source_id
E,Semantic graph enrichment,backend/services/engineering/structural_graph.py,build_structural_graph,Reclassify nodes semantically and add beam/column/bolt relations,base graph,enriched graph + source_features,deterministic heuristic,max_near_distance=180; distance gates 90/70/55; fixed confidences 0.72-0.82,windowed O(350*45) per page,active,ZERO test coverage (no test imports this module),overwrites node.kind losing provenance; graph_consistency formula feeds prediction untested,add direct unit tests; add provenance field
E,Semantic node classification,backend/services/engineering/structural_graph.py,_semantic_kind,Regex-classify node as bolt/weld/plate/brace/column/beam/connection,node text,semantic kind string,deterministic (regex),_ENTITY_RULES,O(1),active,untested,second independent classifier stacked on graph_builder's own,consolidate into one classifier
E,Graph feature aggregation,backend/services/engineering/structural_graph.py,source_features computation,Aggregate degree/links/distance/consistency per source token,graph,source_features dict,deterministic,graph_consistency = min(1.0 0.35+0.09*structural_links),O(edges) per node (linear rescan),active,untested,formula constants (0.35 0.09) undocumented origin; this is what actually reaches prediction,add tests; document derivation
E,Extraction-to-Excel matching,backend/services/engineering/matching_engine.py,match_extraction_to_excel,Compare extracted labels/geometry against Excel schedule,extraction + Excel,findings + summary,deterministic heuristic,length/width tolerance 0.05 (5% relative); area cutoff 500,O(n) to O(n^2) depending on helper,DEAD - not imported outside tests,shallow (test_engineering_pipeline.py),not reachable from any router or live pipeline,decide: wire in or remove
E,Rule-based token sanity checks,backend/services/engineering/rule_engine.py,evaluate_engineering_rules,Score structural plausibility of a predicted label,token + geometry + graph context,rule findings + score,deterministic heuristic,10 rules; weights 0.4-1.3; warning=0.45x weight,O(rules),active,untested directly (only via orchestrator mocks),weight origins undocumented,document or calibrate weights
E,Document-level rule checks,backend/services/engineering/rule_engine.py,evaluate_document_rules,Flag beams-without-columns / missing-support-edges,graph,document-level findings,deterministic,none,O(nodes+edges),active,untested,only 2 checks - narrow coverage,expand rule set
E,AI-first suggestion engine,backend/services/engineering/suggestion_engine.py,suggest_for_text_node / generate_suggestions,Generate per-label suggestions using AI+graph+Excel priors,text node + graph + Excel counts,suggestion dict,heuristic,confidence formulas 0.25/0.65/0.7 fixed; +-0.05/0.08 graph nudge,O(edges) per node,DEAD - not imported outside tests,shallow,duplicate TOKEN_RE with matching_engine.py; unreachable in production,decide: wire in or remove
E,Object confidence scoring,backend/services/engineering/object_confidence.py,score_text_object / score_geometry_object / score_matching_for_object,Score confidence of an extracted object bundle,object + match status,confidence float,heuristic,base 0.4-0.45 + additive bonuses; match-status floor 0.35,O(1),DEAD - not imported outside tests,shallow,contains a vestigial always-true nested check,remove dead branch if module is kept
E,Engineering validation checks (dead variant),backend/services/engineering/validation_engine.py,validate_extraction,Validate extraction/geometry/graph consistency (non-live variant),extraction + geometry + graph,validation issues,deterministic heuristic,far_label_distance=140.0 (3rd distinct nearby-constant); overlap window lines[:300]x20,windowed,DEAD - not imported outside tests; distinct from live multimodal/validation_engine.py,shallow,name-collision with the live validation_engine.py in multimodal/ risks confusion,rename or remove to avoid collision
E,Component ID allocation,backend/services/component_tracker.py,(module),Generate stable-ish component IDs from SHA-1 digest,role+page+context,5-digit component id,deterministic,id space mod 100000,O(1),active,untested directly,collision probability grows with corpus size; no collision check,add collision detection or widen ID space
E,Engineering object filtering,backend/services/engineering_object_filter.py,filter_engineering_objects,Filter body prose out of token stream before graph/prediction,raw tokens,filtered tokens,deterministic heuristic,none documented in this pass,O(n),active,indirect,none significant,keep
F,Wildcard candidate generation,backend/services/wildcard_matcher.py,match_wildcard_mask,see B row,,,,,,,,,see B row
F,Exact-section candidate generation,backend/services/exact_section_predictor.py,predict_exact_sections_for_labels,see B row,,,,,,,,,see B row
F,HSS/PIPE dimension-format validation,N/A,N/A,Not implemented anywhere in the traced codebase,shape token,N/A,N/A,none,N/A,ABSENT,none,family restriction is startswith-only; no dimension-shape-aware validation exists,implement per-family dimension grammar validation
G,Attention-weighted modality fusion,backend/services/multimodal/modular_fusion.py,AttentionFusion.attend / UnifiedMultimodalFusion.predict,Select winning candidate label from 6 weighted modalities,per-candidate modality scores,selected label + candidate_scores,heuristic (softmax over log-prior x quality^0.75),ATTENTION_PRIORS text.32 ocr.08 layout.08 geom.30 graph.17 rules.05; database fixed 0.0,O(candidates x modalities),active,test_modular_multimodal_fusion.py,this IS the label-selecting step - not a probability despite softmax appearance,label outputs as attention weights not probabilities
G,Overall confidence fusion,backend/services/multimodal/modular_fusion.py,ConfidenceFusion.fuse,Compute reported overall confidence,modality confidences + top/second scores,confidence float,heuristic weighted sum,0.72 modality_confidence + 0.20 top + 0.08 margin,O(1),active,indirect,independently fixed weights vs ATTENTION_PRIORS - 2nd hardcoded scheme,document distinction clearly
G,Presentation ranking re-merge,backend/services/prediction/ranking.py,build_ranking,Merge fusion output + wildcard hits into final ranked list,fusion candidate_scores + wildcard hits,ranked candidates + near_tie flag,deterministic,NEAR_TIE_MARGIN=0.04 limit=8,O(n log n),active,test_ranking.py,cosmetic layer - does not fix upstream scoring duplication it was built to prevent,keep; extend scope to unify upstream scorers too
G,Confidence calibration,backend/services/prediction/calibration.py,calibrate_score / fit_calibration,Convert heuristic ranking_score into a calibrated probability,ranking_score + held-out labeled data,final_confidence + is_calibrated flag,ML (isotonic regression),MIN_CALIBRATION_SAMPLES=50,O(n log n) fit O(1) inference,active but STRUCTURALLY NEVER FIRES (dataset schema lacks required columns),test_calibration.py (synthetic data only),every prediction in current system is shown uncalibrated,extend approved_dataset schema to record ranking_score+correct
G,Review-status decision,backend/services/prediction/review_policy.py,decide_review_status,Decide auto_accepted / pending_review / accepted_unverified / correction_suggested,confidence + issues + flags,review_status string,deterministic rule chain,confidence_high=0.80 medium=0.55 prob_threshold=0.70 conflict>=2 issues,O(1),active,indirect,database miss alone never forces review (by design - document this loudly),keep; add explicit test for this design decision
G,Match-status determination,backend/services/prediction/canonical_contract.py,determine_comparison,Classify raw-vs-predicted relationship,raw text + final label,MatchStatus enum,deterministic,uses is_conservatively_equal only,O(1),active,test_canonical_contract.py,none significant,keep
G,Explanation text generation,backend/services/prediction/explanation_engine.py,build_explanation,Build human-readable why-selected/why-rejected text,scores + signals,explanation dict,deterministic (template interpolation),none,O(candidates),active,indirect,several duplicate flattened aliases of the same float under different keys,dedupe response schema
H,Canonical prediction contract,backend/services/prediction/canonical_contract.py,build_canonical_prediction,Assemble the auditable per-token prediction record,all upstream evidence,CanonicalPrediction,deterministic,none,O(1),active,test_canonical_contract.py,evidence field is attention-weight share not evidence-quality - naming trap,rename field or add doc comment
H,Legacy prediction detection (frontend),frontend/src/lib/predictionContract.js,isLegacyPrediction,Detect pre-canonical-contract records,prediction result,bool,deterministic,none,O(1),active,predictionContract.test.js,none significant,keep
H,Confidence-level banding,backend/services/prediction/confidence_engine.py;backend/services/prediction/contracts.py;backend/services/prediction/contract.py;frontend/src/lib/predictionContract.js,level_from_score (and 3 reimplementations),Map confidence float to High/Medium/Low,confidence float,level string,deterministic,0.80 / 0.55 (hardcoded in 3 of 4 copies),O(1),active,indirect,4 independent implementations - only 1 reads config.py settings,centralize into one shared function/constant
