current_path,file_type,subsystem,functional_purpose,classification,usage_status,usage_evidence,primary_entrypoint_or_consumer,important_inbound_references,important_outbound_dependencies,related_tests,approx_loc,duplication_overlap_notes,risk_if_changed,confidence_level,proposed_action,proposed_destination,explanatory_notes
.claude/settings.json,JSON,Claude Code tooling - configuration,"Wires all four PreToolUse hooks (secret_file_guard, protect_paths, precommit_guard, git_destructive_guard) to their matchers/if-filters",configuration,used by developer tooling,Loaded automatically by Claude Code at session start from .claude/settings.json,Claude Code harness (settings loader),None (root config),.claude/hooks/*.py (all four),none,43,None.,high - this is the single control point for every repo-safety guardrail; a mistake here silently disables a hook (e.g. wrong matcher or path) with no test to catch it,high,keep in place,(unchanged),"Cross-check result: ALL 4 wired hook commands point to files that exist (secret_file_guard.py, protect_paths.py, precommit_guard.py, git_destructive_guard.py); ALL 4 hook files present in .claude/hooks/ are referenced here. No mismatch either direction. .claude/settings.local.json (machine-local overrides) is gitignored and out of scope."
.claude/skills/deploy-readiness/SKILL.md,Markdown (skill),Claude Code tooling - skills,"Deployment gate checklist: branch/tree check, targeted tests, production build, secret/env validation, preview deploy, Playwright smoke test, explicit confirmation before production",developer tooling,used by developer tooling,"Model-invoked on deploy/ship/release requests per its description field; not in skills-lock.json (locally authored, not externally sourced)",Claude Code Skill tool,Complements deploy-to-vercel (this skill explicitly scopes what Vercel does/doesn't cover for this FastAPI+Vite repo),"npm run build, npm run test (referenced)",none,104,"Deliberately layered over deploy-to-vercel: deploy-readiness is the repo-specific gate, deploy-to-vercel is the generic execution mechanism. Not duplicative.","medium - if this checklist drifts from actual deploy steps (e.g. docker-compose.yml changes), risk of shipping a broken build",high,keep in place,(unchanged),Locally authored (no skills-lock.json entry needed - only externally-sourced skills are tracked there).
.claude/skills/deploy-to-vercel/SKILL.md,"Markdown (skill, externally sourced)",Claude Code tooling - skills,"Generic Vercel deployment workflow (preview-by-default, project linking, git-push deploys)",developer tooling,used by developer tooling,Model-invoked on 'deploy my app'/'push this live' requests; tracked in skills-lock.json (source: vercel-labs/agent-skills),Claude Code Skill tool,skills-lock.json records its provenance/hash,"resources/deploy.sh, resources/deploy-codex.sh",none,296,"See resources/deploy.sh vs deploy-codex.sh - near-identical (10-line diff: script name + deploy endpoint URL only), intentional per-agent variant from upstream vercel-labs package, not accidental duplication.","low - external skill, only relevant when a Vercel deploy is requested; deploy-readiness gates when it's appropriate to use given this repo is FastAPI+Vite, not Vercel-native",high,keep in place,(unchanged),skills-lock.json entry present and name matches directory; externally sourced and versioned (metadata.version 3.0.0).
.claude/skills/deploy-to-vercel/resources/deploy-codex.sh,Bash script,Claude Code tooling - skills,"Vercel claimable-deploy-endpoint script, Codex-agent variant (different deploy endpoint URL than deploy.sh)",build/deployment,used by developer tooling,Invoked by deploy-to-vercel/SKILL.md workflow steps when running under Codex rather than Claude,.claude/skills/deploy-to-vercel/SKILL.md,none,curl to https://codex-deploy-skills.vercel.sh/api/deploy,none,301,"Near-duplicate of deploy.sh (same file, 10-line diff: script name in comments + endpoint host). Intentional upstream vercel-labs pattern for multi-agent support, not local cleanup debt.","low - external, only exercised if Codex-flavored deploy path is invoked, which is unlikely from Claude Code",medium - unclear how often the Codex variant is actually exercised from this repo,keep in place,(unchanged),Part of the externally-sourced deploy-to-vercel package tracked in skills-lock.json; do not hand-edit (would break hash provenance).
.claude/skills/deploy-to-vercel/resources/deploy.sh,Bash script,Claude Code tooling - skills,"Vercel claimable-deploy-endpoint script, Claude-agent variant",build/deployment,used by developer tooling,Invoked by deploy-to-vercel/SKILL.md workflow steps,.claude/skills/deploy-to-vercel/SKILL.md,none,curl to https://claude-skills-deploy.vercel.com/api/deploy,none,301,Near-duplicate of deploy-codex.sh (see that row). Intentional.,low,medium - unclear if this repo has ever actually used a live Vercel preview deploy given it's a FastAPI+Vite app deploy-readiness says only the frontend build is Vercel-shaped,keep in place,(unchanged),Part of the externally-sourced deploy-to-vercel package tracked in skills-lock.json.
.claude/skills/git-integrate/SKILL.md,Markdown (skill),Claude Code tooling - skills,"Guided workflow for auditing and safely integrating a partner branch/commit/cherry-pick/cross-worktree change, handling mixed real-code+artifact commits",developer tooling,used by developer tooling,"disable-model-invocation: true in frontmatter - CONFIRMED: this is intentional, reserved for explicit user invocation only (e.g. slash-command style), the model will not auto-trigger it","Explicit user invocation only (Claude Code Skill tool, disable-model-invocation blocks auto-trigger)",CLAUDE.md 'Repository safety' section names it explicitly: 'Use the git-integrate skill for any cherry-pick / partner-merge / cross-worktree work.',none (workflow doc),none,59,"Complements integration-auditor subagent (see that row) - skill is the human-guided step-by-step procedure, agent is the reusable read-only audit persona it likely calls into for the audit phase.",medium - governs a genuinely risky operation class (cherry-pick/merge across worktrees) for a repo that explicitly relies on this discipline,high,keep in place,(unchanged),"disable-model-invocation is intentional per task instructions - not dead code, it is a deliberately manual-only skill."
.claude/skills/ml-audit/SKILL.md,Markdown (skill),Claude Code tooling - skills,"Read-only ML experiment audit checklist: leakage, split correctness, candidate-recall ceiling, train/serve parity, evaluation methodology, baseline comparability, artifact provenance",developer tooling,used by developer tooling,Directly referenced by CLAUDE.md ('Use the ml-audit skill / ml-auditor agent before trusting an experiment') and .claude/rules/ml.md,Claude Code Skill tool / delegates to ml-auditor subagent,"CLAUDE.md 'ML work' section, .claude/rules/ml.md","backend/scripts/evaluate_*, audit_candidate_recall_v16.py, paired_compare_rankers.py, phase* scripts (named in file)",backend/tests/test_* (referenced generically),51,"Same checklist ordering as .claude/agents/ml-auditor.md - complementary (skill = workflow entry point, agent = reusable persona), not duplicated content.",medium - load-bearing for trusting any ML metric claim in this repo,high,keep in place,(unchanged),Consistent with .claude/rules/ml.md priority list.
.claude/skills/safe-change/SKILL.md,Markdown (skill),Claude Code tooling - skills,"Default implementation workflow: git-state check, observable success condition, targeted search, minimal diff, targeted verification",developer tooling,used by developer tooling,Description says 'Use for most bug fixes and small-to-medium feature work in backend/ or frontend/' - broad default-workflow trigger,Claude Code Skill tool,CLAUDE.md 'Change discipline' section restates the same minimal-diff/search-first/verify principles,test-select skill (referenced for verification step),none,41,"Restates CLAUDE.md 'Change discipline' as an actionable checklist - overlap is intentional (skill operationalizes the CLAUDE.md rule), not redundant duplication needing consolidation.",low - documentation/workflow only,high,keep in place,(unchanged),None notable.
.claude/skills/scikit-learn/SKILL.md,"Markdown (skill, externally sourced)",Claude Code tooling - skills,"Reference documentation skill for scikit-learn ML workflows (supervised/unsupervised learning, pipelines, evaluation, preprocessing)",developer tooling,used by developer tooling,"metadata: skill-author 'K-Dense Inc.', version 1.3, license BSD-3-Clause - externally sourced but NOT present in skills-lock.json",Claude Code Skill tool,"None found - not referenced by CLAUDE.md, README, or repo rules","references/*.md (8 files), scripts/*.py (2 files)",none,341,"General-purpose scikit-learn reference; this repo's actual ML stack is custom (backend/services/prediction, training_pipeline) - relevance to this specific codebase is generic/background, not repo-specific.","low - reference documentation only, not repo-specific code",medium,keep but document,(unchanged),"FLAG: externally-sourced skill (has author/license/version metadata like the vercel-labs skills) but has NO corresponding entry in skills-lock.json, unlike deploy-to-vercel and web-design-guidelines. skills-lock.json is inconsistent/incomplete for this skill's provenance."
.claude/skills/scikit-learn/references/common_workflows.md,Markdown (skill reference),Claude Code tooling - skills,scikit-learn reference material (common workflows) loaded on-demand by the scikit-learn skill,documentation,documentation/reference only,Loaded on-demand by .claude/skills/scikit-learn/SKILL.md when the topic is relevant,.claude/skills/scikit-learn/SKILL.md,SKILL.md,none,none,107,Standard upstream K-Dense scikit-learn skill bundle content; no overlap with repo-specific docs.,low - reference documentation only,medium,keep but document,(unchanged),Same skills-lock.json provenance gap as the parent SKILL.md (see that row) - not tracked despite being externally authored.
.claude/skills/scikit-learn/references/core_capabilities.md,Markdown (skill reference),Claude Code tooling - skills,scikit-learn reference material (core capabilities) loaded on-demand by the scikit-learn skill,documentation,documentation/reference only,Loaded on-demand by .claude/skills/scikit-learn/SKILL.md when the topic is relevant,.claude/skills/scikit-learn/SKILL.md,SKILL.md,none,none,133,Standard upstream K-Dense scikit-learn skill bundle content; no overlap with repo-specific docs.,low - reference documentation only,medium,keep but document,(unchanged),Same skills-lock.json provenance gap as the parent SKILL.md (see that row) - not tracked despite being externally authored.
.claude/skills/scikit-learn/references/model_evaluation.md,Markdown (skill reference),Claude Code tooling - skills,scikit-learn reference material (model evaluation) loaded on-demand by the scikit-learn skill,documentation,documentation/reference only,Loaded on-demand by .claude/skills/scikit-learn/SKILL.md when the topic is relevant,.claude/skills/scikit-learn/SKILL.md,SKILL.md,none,none,592,Standard upstream K-Dense scikit-learn skill bundle content; no overlap with repo-specific docs.,low - reference documentation only,medium,keep but document,(unchanged),Same skills-lock.json provenance gap as the parent SKILL.md (see that row) - not tracked despite being externally authored.
.claude/skills/scikit-learn/references/pipelines_and_composition.md,Markdown (skill reference),Claude Code tooling - skills,scikit-learn reference material (pipelines and composition) loaded on-demand by the scikit-learn skill,documentation,documentation/reference only,Loaded on-demand by .claude/skills/scikit-learn/SKILL.md when the topic is relevant,.claude/skills/scikit-learn/SKILL.md,SKILL.md,none,none,612,Standard upstream K-Dense scikit-learn skill bundle content; no overlap with repo-specific docs.,low - reference documentation only,medium,keep but document,(unchanged),Same skills-lock.json provenance gap as the parent SKILL.md (see that row) - not tracked despite being externally authored.
.claude/skills/scikit-learn/references/preprocessing.md,Markdown (skill reference),Claude Code tooling - skills,scikit-learn reference material (preprocessing) loaded on-demand by the scikit-learn skill,documentation,documentation/reference only,Loaded on-demand by .claude/skills/scikit-learn/SKILL.md when the topic is relevant,.claude/skills/scikit-learn/SKILL.md,SKILL.md,none,none,606,Standard upstream K-Dense scikit-learn skill bundle content; no overlap with repo-specific docs.,low - reference documentation only,medium,keep but document,(unchanged),Same skills-lock.json provenance gap as the parent SKILL.md (see that row) - not tracked despite being externally authored.
.claude/skills/scikit-learn/references/quick_reference.md,Markdown (skill reference),Claude Code tooling - skills,scikit-learn reference material (quick reference) loaded on-demand by the scikit-learn skill,documentation,documentation/reference only,Loaded on-demand by .claude/skills/scikit-learn/SKILL.md when the topic is relevant,.claude/skills/scikit-learn/SKILL.md,SKILL.md,none,none,436,Standard upstream K-Dense scikit-learn skill bundle content; no overlap with repo-specific docs.,low - reference documentation only,medium,keep but document,(unchanged),Same skills-lock.json provenance gap as the parent SKILL.md (see that row) - not tracked despite being externally authored.
.claude/skills/scikit-learn/references/supervised_learning.md,Markdown (skill reference),Claude Code tooling - skills,scikit-learn reference material (supervised learning) loaded on-demand by the scikit-learn skill,documentation,documentation/reference only,Loaded on-demand by .claude/skills/scikit-learn/SKILL.md when the topic is relevant,.claude/skills/scikit-learn/SKILL.md,SKILL.md,none,none,379,Standard upstream K-Dense scikit-learn skill bundle content; no overlap with repo-specific docs.,low - reference documentation only,medium,keep but document,(unchanged),Same skills-lock.json provenance gap as the parent SKILL.md (see that row) - not tracked despite being externally authored.
.claude/skills/scikit-learn/references/unsupervised_learning.md,Markdown (skill reference),Claude Code tooling - skills,scikit-learn reference material (unsupervised learning) loaded on-demand by the scikit-learn skill,documentation,documentation/reference only,Loaded on-demand by .claude/skills/scikit-learn/SKILL.md when the topic is relevant,.claude/skills/scikit-learn/SKILL.md,SKILL.md,none,none,517,Standard upstream K-Dense scikit-learn skill bundle content; no overlap with repo-specific docs.,low - reference documentation only,medium,keep but document,(unchanged),Same skills-lock.json provenance gap as the parent SKILL.md (see that row) - not tracked despite being externally authored.
.claude/skills/scikit-learn/scripts/classification_pipeline.py,Python (skill script),Claude Code tooling - skills,"Example/utility script for building scikit-learn classification pipelines, bundled with the scikit-learn skill",developer tooling,used by developer tooling,Referenced by scikit-learn SKILL.md as example code Claude can run/adapt when the skill is invoked,.claude/skills/scikit-learn/SKILL.md,none,"scikit-learn, numpy (external Python deps, not in backend/requirements.txt)",none,257,"Generic example script, no overlap with this repo's actual training pipeline (backend/services/training_pipeline/).","low - example script only, never imported by backend/",medium,keep but document,(unchanged),Same skills-lock.json provenance gap as parent skill.
.claude/skills/scikit-learn/scripts/clustering_analysis.py,Python (skill script),Claude Code tooling - skills,"Example/utility script for scikit-learn clustering analysis, bundled with the scikit-learn skill",developer tooling,used by developer tooling,Referenced by scikit-learn SKILL.md,.claude/skills/scikit-learn/SKILL.md,none,"scikit-learn, numpy, matplotlib/seaborn (optional, external)",none,386,"Generic example script, no overlap with repo's training pipeline.",low - example script only,medium,keep but document,(unchanged),Same skills-lock.json provenance gap as parent skill.
.claude/skills/task-observer/LICENSE.txt,Text (CC BY 4.0 license),Claude Code tooling - skills,License file (Creative Commons Attribution 4.0 International) for the task-observer skill bundle,documentation,documentation/reference only,Static license text accompanying an externally-authored skill,n/a,none,none,none,395,None.,"low - license text, no functional risk",high,keep in place,(unchanged),"FLAG: task-observer is externally sourced (CC-BY-4.0 licensed, has its own USER-GUIDE.md) but has NO entry in skills-lock.json, same provenance gap as scikit-learn - skills-lock.json currently only accounts for the two vercel-labs skills (deploy-to-vercel, web-design-guidelines), not scikit-learn or task-observer."
.claude/skills/task-observer/SKILL.md,"Markdown (skill, externally sourced)",Claude Code tooling - skills,Monitors task execution across sessions for skill-improvement opportunities; captures patterns/corrections/workflow insights into an observation log ('One Skill to Rule Them All'),developer tooling,used by developer tooling,"Description mandates it trigger 'before the FIRST tool call of any session' - very broad, aggressive auto-trigger scope compared to other skills in this repo",Claude Code Skill tool (auto-triggered per its own description),"Not referenced by CLAUDE.md or any repo rule file - this skill's mandate is session-wide/cross-project, not specific to this codebase","references/*.md (6 files), scripts/*.py (2 files), USER-GUIDE.md",none,822,"Largest skill in the inventory by far (822 lines + ~2450 lines of references). No content overlap with other skills, but its 'trigger before every session' instruction is a much broader claim on session behavior than any repo-specific skill makes.","medium - if this skill's auto-trigger logic misfires or is misread, it adds overhead to every session; it is generic tooling, not repo-specific, so a bug here does not risk the product code",medium,manual decision required,(unchanged),FLAG for provenance (see LICENSE.txt row): not in skills-lock.json despite external authorship. Also flag for scope: this is the only skill in the inventory whose description asks for universal session-start triggering rather than task-specific triggering - worth an explicit decision on whether it should stay enabled repo-wide.
.claude/skills/task-observer/USER-GUIDE.md,Markdown (skill reference),Claude Code tooling - skills,User-facing guide for the task-observer skill (how to review/use the observation log),documentation,documentation/reference only,Referenced from SKILL.md,.claude/skills/task-observer/SKILL.md,SKILL.md,none,none,120,None.,low,medium,keep but document,(unchanged),Same provenance gap as parent skill.
.claude/skills/task-observer/references/environments.md,Markdown (skill reference),Claude Code tooling - skills,task-observer reference material (environments) loaded on-demand,documentation,documentation/reference only,Loaded on-demand by SKILL.md,.claude/skills/task-observer/SKILL.md,SKILL.md,none,none,529,Standard upstream task-observer bundle content; weekly-review.md (912 lines) and skill-authoring.md (782 lines) are the largest single files in the entire audited scope.,low - reference documentation only,medium,keep but document,(unchanged),Same skills-lock.json provenance gap as parent skill.
.claude/skills/task-observer/references/migration.md,Markdown (skill reference),Claude Code tooling - skills,task-observer reference material (migration) loaded on-demand,documentation,documentation/reference only,Loaded on-demand by SKILL.md,.claude/skills/task-observer/SKILL.md,SKILL.md,none,none,189,Standard upstream task-observer bundle content; weekly-review.md (912 lines) and skill-authoring.md (782 lines) are the largest single files in the entire audited scope.,low - reference documentation only,medium,keep but document,(unchanged),Same skills-lock.json provenance gap as parent skill.
.claude/skills/task-observer/references/observation-log.md,Markdown (skill reference),Claude Code tooling - skills,task-observer reference material (observation log) loaded on-demand,documentation,documentation/reference only,Loaded on-demand by SKILL.md,.claude/skills/task-observer/SKILL.md,SKILL.md,none,none,502,Standard upstream task-observer bundle content; weekly-review.md (912 lines) and skill-authoring.md (782 lines) are the largest single files in the entire audited scope.,low - reference documentation only,medium,keep but document,(unchanged),Same skills-lock.json provenance gap as parent skill.
.claude/skills/task-observer/references/signals.md,Markdown (skill reference),Claude Code tooling - skills,task-observer reference material (signals) loaded on-demand,documentation,documentation/reference only,Loaded on-demand by SKILL.md,.claude/skills/task-observer/SKILL.md,SKILL.md,none,none,81,Standard upstream task-observer bundle content; weekly-review.md (912 lines) and skill-authoring.md (782 lines) are the largest single files in the entire audited scope.,low - reference documentation only,medium,keep but document,(unchanged),Same skills-lock.json provenance gap as parent skill.
.claude/skills/task-observer/references/skill-authoring.md,Markdown (skill reference),Claude Code tooling - skills,task-observer reference material (skill authoring) loaded on-demand,documentation,documentation/reference only,Loaded on-demand by SKILL.md,.claude/skills/task-observer/SKILL.md,SKILL.md,none,none,782,Standard upstream task-observer bundle content; weekly-review.md (912 lines) and skill-authoring.md (782 lines) are the largest single files in the entire audited scope.,low - reference documentation only,medium,keep but document,(unchanged),Same skills-lock.json provenance gap as parent skill.
.claude/skills/task-observer/references/starter-principles.md,Markdown (skill reference),Claude Code tooling - skills,task-observer reference material (starter principles) loaded on-demand,documentation,documentation/reference only,Loaded on-demand by SKILL.md,.claude/skills/task-observer/SKILL.md,SKILL.md,none,none,343,Standard upstream task-observer bundle content; weekly-review.md (912 lines) and skill-authoring.md (782 lines) are the largest single files in the entire audited scope.,low - reference documentation only,medium,keep but document,(unchanged),Same skills-lock.json provenance gap as parent skill.
.claude/skills/task-observer/references/weekly-review.md,Markdown (skill reference),Claude Code tooling - skills,task-observer reference material (weekly review) loaded on-demand,documentation,documentation/reference only,Loaded on-demand by SKILL.md,.claude/skills/task-observer/SKILL.md,SKILL.md,none,none,912,Standard upstream task-observer bundle content; weekly-review.md (912 lines) and skill-authoring.md (782 lines) are the largest single files in the entire audited scope.,low - reference documentation only,medium,keep but document,(unchanged),Same skills-lock.json provenance gap as parent skill.
.claude/skills/task-observer/scripts/migrate-log.py,Python (skill script),Claude Code tooling - skills,Utility script to migrate/upgrade the task-observer observation log format,developer tooling,used by developer tooling,Referenced by task-observer references/migration.md,.claude/skills/task-observer/SKILL.md workflow,references/migration.md,none,none,501,None.,"low - operates on an observation log file, not repo/product code",medium,keep but document,(unchanged),Same skills-lock.json provenance gap as parent skill.
